Fecha,Comentario,Estrellas,Likes
08 jun. 2023,"Muy malo, lento y a las 2 semanas empezó a presentar un error en la bateria.",Calificación 1 de 5,28
11 may. 2023,"Se me tilda, no me anda táctil. No termine de pagarlo y me funciona mal. Necesito que me solucionen el problema ya que estoy por parir y necesito estar comunicada y no me funciona el táctil.",Calificación 1 de 5,36
18 mar. 2023,"Tiene un mes el celular y se apago de la nada y dice bienvenido de nuevo , como si recién lo usará y no hay forma de qe funcione.",Calificación 1 de 5,24
16 feb. 2023,"Cuando lo enchufo me dice carga rápida,pero tarda más de 3 horas para cargar el 100% y eso que lo pongo a cargar con un 37%.",Calificación 1 de 5,21
09 jun. 2023,Producto malo. El procesador es de muy mala calidad. No lo recomiendo para nada.,Calificación 1 de 5,16
10 mar. 2023,La verdad para tener 128 g y 4 r muy lento para las aplicaciones habituales. No recomendable.,Calificación 1 de 5,18
25 mar. 2023,La verdad no es lo que esperaraba es un celular recontruido en tierra del fuego y lo peor es un samsung generico.,Calificación 1 de 5,18
26 jun. 2023,"Un cargador vino fallado. Ya que marcaba peligro al ponerlo a cargar. Y la solución que me dieron desde la empresa fue que vaya hasta caballito, yo soy de zona sur y que ahí iban a ver como lo resolvían. Por algo compre por mercado libre para no tener que irme a algún lugar.",Calificación 1 de 5,13
21 jun. 2023,"Malo, no lo recomiendo. Quedan colgadas las notificaciones como no leidas (tengo que re iniciar el teléfono) la cámara es malisima.",Calificación 1 de 5,11
22 jun. 2023,No me pueden solucionar la facturación del producto. No recomendable si necesitan factura.,Calificación 1 de 5,9
20 jul. 2023,"Hola. Me contacto por este medio para ver di tiene garantia este telefono y si me lo puden cambiar por otra unidad. Dado que el mismo se reinicia,no puedo entrar a ciertas paginas y me pidio varias actualizaciones y de ahi quedo diferente mi celular. Quisiera que me lo cambien. Desde ya muchas gracias.",Calificación 1 de 5,6
09 jul. 2023,No funciona para poner memoria externa vino con falla y si reclamos hay que hacer un montón de cosas y me quedo sin comunicación.,Calificación 1 de 5,5
06 feb. 2024,,Calificación 1 de 5,4
29 sep. 2023,La verdad q desilucionada la primera vez q me pasa miren bien en cuanto lleguen el teléfono estaba con el imei bloqueado desde fabrica y hace casi un mes q estoy con vueltas ahora me devuelven el celular y tengo q arreglarme con la garantía espero q me lo solucionen pq sino pierdo 100000$ como si nada.,Calificación 1 de 5,3
06 may. 2023,"Le faltan funcionez como captura de oantalls y el fictado por voz es lento, no funciona el corrector.",Calificación 1 de 5,4
28 ene. 2024,"La cámara es muy mala, y la batería tarda muchísimo en cargarse!.",Calificación 1 de 5,2
06 oct. 2023,Yo compré algo que vino falladom me devuelven el dinero pero no lo que pedí. Ahora tengo que comprar por otro lado y más caro.,Calificación 1 de 5,2
22 sep. 2023,Es una vergüenza que vendan equipos robados y los hagan pasar como nuevo.,Calificación 1 de 5,2
05 oct. 2023,Malísimo. Lento y la calidad de cámara es absudarmente mala. No compren.,Calificación 1 de 5,1
17 sep. 2023,Más o menos.,Calificación 1 de 5,1
03 sep. 2023,Una carga. Da…. Pero buen…!!.,Calificación 1 de 5,1
05 jul. 2023,"Desde el primer día de uso el equipo presentaba problemas en la bateria, una vez que se descagaba no volvia a cargar, pasado el tiempo de garantia tuve que abrirlo para cambiarle la pantalla y me encuentro con que no tenia ninguno de los tornillos. Me vendieron un equipo con la bateria quemada, sin tornillos que sostengan las placas y seguramente usado.",Calificación 1 de 5,1
14 abr. 2024,A menos de una semana de uso falla !!.,Calificación 1 de 5,0
27 mar. 2024,El sistema operativo android. Esta fallando. Donde puedo llevarlo?.,Calificación 1 de 5,0
20 ago. 2024,Pasaron una factura incompleta. Y nunca me pasaron la factura como corresponde.,Calificación 1 de 5,0
16 ago. 2024,Teléfono de muy baja calidad.,Calificación 1 de 5,0
15 ago. 2024,La pantalla se ve con tonalidades verdes u no actualiza las últimas versiones de las app ni android.,Calificación 1 de 5,0
12 ago. 2024,Al mes lo tuve que llevar a la garantía porque se apagó la pantalla.,Calificación 1 de 5,0
28 jul. 2024,No funciona el cargador.,Calificación 1 de 5,0
19 jul. 2024,Muy lento.,Calificación 1 de 5,0
16 jul. 2024,"La verdad mi peor compra, no lo recomiendo para nada o en este lugar. Mi suegra tiene exactamente el mismo y pensé que iba a ser buena compra la verdad mis peor inversión entre que se tilda todo el tiempo.",Calificación 1 de 5,0
08 jul. 2024,Personalmente me resultó pésimo. No me cargaba estando en uso.,Calificación 1 de 5,0
01 jul. 2024,Safa.,Calificación 1 de 5,0
30 jun. 2024,No estoy conforme con el produto.,Calificación 1 de 5,0
15 jun. 2024,3 meses de uso normal y se rompió el pin de carga.,Calificación 1 de 5,0
06 jun. 2024,"Estoy teniendo problemas con el funcionamiento del teléfono, quisiera saber cómo puedo hacer para que me lo cambien pues tiene fallas de fabrica.",Calificación 1 de 5,0
02 jun. 2024,Muy malo.,Calificación 1 de 5,0
24 may. 2024,Horrible me robaron y encima no me reconocen el mal estado del equipo esto no va quedar así voy a ir a defensa del consumidor por chorros y mercado libre también encubrimiento a delicientes.,Calificación 1 de 5,0
23 may. 2024,"El teléfono se colgo desde el día 1,.",Calificación 1 de 5,0
